metadata_nonproduct_terms,repo_key,rows,title,desc,substring_only_terms,boundary_terms
docs,turms-im@turms,5,GitHub - turms-im/turms: 🕊️ The world's most advanced open source instant messaging engine for 100K~10M concurrent users https://turms-im.github.io/docs · GitHub,🕊️ The world's most advanced open source instant messaging engine for 100K~10M concurrent users https://turms-im.github.io/docs - turms-im/turms,,docs
docs,auth0@node-jsonwebtoken,4,GitHub - auth0/node-jsonwebtoken: JsonWebToken implementation for node.js http://self-issued.info/docs/draft-ietf-oauth-json-web-token.html · GitHub,JsonWebToken implementation for node.js http://self-issued.info/docs/draft-ietf-oauth-json-web-token.html - auth0/node-jsonwebtoken,,docs
docs,khoj-ai@khoj,3,"GitHub - khoj-ai/khoj: Your AI second brain. Self-hostable. Get answers from the web or your docs. Build custom agents, schedule automations, do deep research. Turn any online or local LLM into your personal, autonomous AI (gpt, claude, gemini, llama, qwen, mistral). Get started - free. · GitHub","Your AI second brain. Self-hostable. Get answers from the web or your docs. Build custom agents, schedule automations, do deep research. Turn any online or local LLM into your personal, autonomous ...",,docs
docs,cowrie@cowrie,1,GitHub - cowrie/cowrie: Cowrie SSH/Telnet Honeypot https://docs.cowrie.org/ · GitHub,Cowrie SSH/Telnet Honeypot https://docs.cowrie.org/ - cowrie/cowrie,,docs
docs,js-data@js-data,1,"GitHub - js-data/js-data: Give your data the treatment it deserves with a framework-agnostic, datastore-agnostic JavaScript ORM built for ease of use and peace of mind. Works in Node.js and in the Browser. Main Site: http://js-data.io, API Reference Docs: http://api.js-data.io/js-data · GitHub","Give your data the treatment it deserves with a framework-agnostic, datastore-agnostic JavaScript ORM built for ease of use and peace of mind. Works in Node.js and in the Browser. Main Site: http:/...",,docs
docs,pyscript@pyscript,1,GitHub - pyscript/pyscript: An open source platform for Python in the browser. https://pyscript.net Docs: https://docs.pyscript.net/ Try it: https://pyscript.com/ Community: https://discord.gg/HxvBtukrg2 · GitHub,An open source platform for Python in the browser. https://pyscript.net Docs: https://docs.pyscript.net/ Try it: https://pyscript.com/ Community: https://discord.gg/HxvBtukrg2 - pyscript/pyscript,,docs
docs,streamaserver@streama,1,GitHub - streamaserver/streama: Self hosted streaming media server. https://docs.streama-project.com/ · GitHub,Self hosted streaming media server. https://docs.streama-project.com/ - streamaserver/streama,,docs
docs documentation,goadesign@goa,1,"GitHub - goadesign/goa: Design-first Go framework that generates API code, documentation, and clients. Define once in an elegant DSL, deploy as HTTP and gRPC services with zero drift between code and docs. · GitHub","Design-first Go framework that generates API code, documentation, and clients. Define once in an elegant DSL, deploy as HTTP and gRPC services with zero drift between code and docs. - goadesign/goa",,docs documentation
docs documentation,stashapp@stash,1,"GitHub - stashapp/stash: An organizer for your porn, written in Go. Documentation: https://docs.stashapp.cc · GitHub","An organizer for your porn, written in Go.  Documentation:  https://docs.stashapp.cc - stashapp/stash",,docs documentation
documentation,git@git,29,GitHub - git/git: Git Source Code Mirror - This is a publish-only repository but pull requests can be turned into patches to the mailing list via GitGitGadget (https://gitgitgadget.github.io/). Please follow Documentation/SubmittingPatches procedure for any of your improvements. · GitHub,Git Source Code Mirror - This is a publish-only repository but pull requests can be turned into patches to the mailing list via GitGitGadget (https://gitgitgadget.github.io/). Please follow Documen...,,documentation
documentation,danbloomberg@leptonica,9,GitHub - DanBloomberg/leptonica: Leptonica is an open source library containing software that is broadly useful for image processing and image analysis applications. The official github repository for Leptonica is: danbloomberg/leptonica. See leptonica.org for more documentation. · GitHub,Leptonica is an open source library containing software that is broadly useful for image processing and image analysis applications. The official github repository for Leptonica is: danbloomberg/le...,,documentation
documentation,docmost@docmost,9,GitHub - docmost/docmost: Docmost is an open-source collaborative wiki and documentation software. It is an open-source alternative to Confluence and Notion. · GitHub,Docmost is an open-source collaborative wiki and documentation software. It is an open-source alternative to Confluence and Notion. - docmost/docmost,,documentation
documentation,exim@exim,6,"GitHub - Exim/exim: Exim Mail Transport Agent - source, testsuite and documentation · GitHub","Exim Mail Transport Agent - source, testsuite and documentation - Exim/exim",,documentation
documentation,openapitools@openapi-generator,5,"GitHub - OpenAPITools/openapi-generator: OpenAPI Generator allows generation of API client libraries (SDK generation), server stubs, documentation and configuration automatically given an OpenAPI Spec (v2, v3) · GitHub","OpenAPI Generator allows generation of API client libraries (SDK generation), server stubs, documentation and configuration automatically given an OpenAPI Spec (v2, v3) - OpenAPITools/openapi-gener...",,documentation
documentation,webpack@webpack-dev-server,5,GitHub - webpack/webpack-dev-server: Serves a webpack app. Updates the browser on changes. Documentation https://webpack.js.org/configuration/dev-server/. · GitHub,Serves a webpack app. Updates the browser on changes. Documentation https://webpack.js.org/configuration/dev-server/. - webpack/webpack-dev-server,,documentation
documentation,lsegal@yard,4,"GitHub - lsegal/yard: YARD is a Ruby Documentation tool. The Y stands for ""Yay!"" · GitHub","YARD is a Ruby Documentation tool. The Y stands for ""Yay!"" - lsegal/yard",,documentation
documentation,docsifyjs@docsify,3,GitHub - docsifyjs/docsify: 🃏 A magical documentation site generator. · GitHub,🃏 A magical documentation site generator. Contribute to docsifyjs/docsify development by creating an account on GitHub.,,documentation
documentation,arendst@tasmota,2,"GitHub - arendst/Tasmota: Alternative firmware for ESP8266 and ESP32 based devices with easy configuration using webUI, OTA updates, automation using timers or rules, expandability and entirely local control over MQTT, HTTP, Serial or KNX. Full documentation at · GitHub","Alternative firmware for ESP8266 and ESP32 based devices with easy configuration using webUI, OTA updates, automation using timers or rules, expandability and entirely local control over MQTT, HTTP...",,documentation
documentation,difusehq@kalmia,2,GitHub - DifuseHQ/Kalmia: A documentation CMS written in go · GitHub,A documentation CMS written in go. Contribute to DifuseHQ/Kalmia development by creating an account on GitHub.,,documentation
documentation,lora-net@loramac-node,2,GitHub - Lora-net/LoRaMac-node: Reference implementation and documentation of a LoRa network node. · GitHub,Reference implementation and documentation of a LoRa network node. - Lora-net/LoRaMac-node,,documentation
documentation,swagger-api@swagger-ui,2,"GitHub - swagger-api/swagger-ui: Swagger UI is a collection of HTML, JavaScript, and CSS assets that dynamically generate beautiful documentation from a Swagger-compliant API. · GitHub","Swagger UI is a collection of HTML, JavaScript, and CSS assets that dynamically generate beautiful documentation from a Swagger-compliant API. - swagger-api/swagger-ui",,documentation
documentation,swaggo@http-swagger,2,GitHub - swaggo/http-swagger: Default net/http wrapper to automatically generate RESTful API documentation with Swagger 2.0. · GitHub,Default net/http wrapper to automatically generate RESTful API documentation with Swagger 2.0. - swaggo/http-swagger,,documentation
documentation,typemill@typemill,2,"GitHub - typemill/typemill: Typemill is a flat-file CMS based on Markdown and designed for informational websites like documentation, manuals, and handbooks. · GitHub","Typemill is a flat-file CMS based on Markdown and designed for informational websites like documentation, manuals, and handbooks. - typemill/typemill",,documentation
documentation,google@kctf,1,"GitHub - google/kctf: kCTF is a Kubernetes-based infrastructure for CTF competitions. For documentation, see · GitHub","kCTF is a Kubernetes-based infrastructure for CTF competitions. For documentation, see - google/kctf",,documentation
documentation,gpg@gnupg,1,"GitHub - gpg/gnupg: The GNU Privacy Guard. NOTE: Maintainers are not tracking this mirror. Do not make pull requests here, nor comment any commits, submit them usual way to bug tracker (https://www.gnupg.org/documentation/bts.html) or to the mailing list (https://www.gnupg.org/documentation/mailing-lists.html). · GitHub","The GNU Privacy Guard. NOTE: Maintainers are not tracking this mirror. Do not make pull requests here, nor comment any commits, submit them usual way to bug tracker (https://www.gnupg.org/documenta...",,documentation
documentation,gpg@libgcrypt,1,"GitHub - gpg/libgcrypt: The GNU crypto library. NOTE: Maintainers are not tracking this mirror. Do not make pull requests here, nor comment any commits, submit them usual way to bug tracker (https://www.gnupg.org/documentation/bts.html) or to the mailing list (https://www.gnupg.org/documentation/mailing-lists.html). · GitHub","The GNU crypto library. NOTE: Maintainers are not tracking this mirror. Do not make pull requests here, nor comment any commits, submit them usual way to bug tracker (https://www.gnupg.org/document...",,documentation
documentation,mkdocs@mkdocs,1,GitHub - mkdocs/mkdocs: Project documentation with Markdown. · GitHub,Project documentation with Markdown. Contribute to mkdocs/mkdocs development by creating an account on GitHub.,,documentation
documentation,redocly@redoc,1,GitHub - Redocly/redoc: 📘 OpenAPI/Swagger-generated API Reference Documentation · GitHub,📘  OpenAPI/Swagger-generated API Reference Documentation - Redocly/redoc,,documentation
documentation template,dgarijo@widoco,1,GitHub - dgarijo/Widoco: Wizard for documenting ontologies. WIDOCO is a step by step generator of HTML templates with the documentation of your ontology. It uses the LODE environment to create part of the template. · GitHub,Wizard for documenting ontologies. WIDOCO is a step by step generator of HTML templates with the documentation of your ontology. It uses the LODE environment to create part of the template. - dgari...,,documentation template
documentation test,monetdb@monetdb,31,GitHub - MonetDB/MonetDB: This is the official mirror of the MonetDB Mercurial repository. Please note that we do not accept pull requests on github. The regression test results can be found on the MonetDB Testweb https://www.monetdb.org/testweb/web/status.php .For contributions please see: https://www.monetdb.org/documentation/dev-guide/ · GitHub,This is the official mirror of the MonetDB Mercurial repository. Please note that we do not accept pull requests on github. The regression test results can be found on the MonetDB Testweb https://w...,,documentation test
documentation website,ipython@ipython,5,"GitHub - ipython/ipython: Official repository for IPython itself. Other repos in the IPython organization contain things like the website, documentation builds, etc. · GitHub","Official repository for IPython itself. Other repos in the IPython organization contain things like the website, documentation builds, etc. - ipython/ipython",,documentation website
examples,centic9@jgit-cookbook,1,GitHub - centic9/jgit-cookbook: Provides examples and code snippets for the JGit Java Git implementation · GitHub,Provides examples and code snippets for the JGit Java Git implementation - centic9/jgit-cookbook,,examples
exploit,jm33-m0@emp3r0r,2,"GitHub - jm33-m0/emp3r0r: Self‑healing Gossip Mesh C2 with Assisted Peer Discovery, Modular Post‑Exploitation, and OPSEC‑Focused Transport · GitHub","Self‑healing Gossip Mesh C2 with Assisted Peer Discovery, Modular Post‑Exploitation, and OPSEC‑Focused Transport - jm33-m0/emp3r0r",exploit,
exploit,gallopsled@pwntools,1,GitHub - Gallopsled/pwntools: CTF framework and exploit development library · GitHub,CTF framework and exploit development library. Contribute to Gallopsled/pwntools development by creating an account on GitHub.,,exploit
exploit exploits,boyan-milanov@ropium,1,GitHub - Boyan-MILANOV/ropium: ROPium is a tool that helps you building ROP exploits by finding and chaining gadgets together · GitHub,ROPium is a tool that helps you building ROP exploits by finding and chaining gadgets together  - Boyan-MILANOV/ropium,exploit,exploits
oss,gpac@gpac,332,"GitHub - gpac/gpac: GPAC Ultramedia OSS for Video Streaming & Next-Gen Multimedia Transcoding, Packaging & Delivery · GitHub","GPAC Ultramedia OSS for Video Streaming & Next-Gen Multimedia Transcoding, Packaging & Delivery - gpac/gpac",,oss
poc,espocrm@espocrm,28,GitHub - espocrm/espocrm: EspoCRM – Open Source CRM Application · GitHub,EspoCRM – Open Source CRM Application. Contribute to espocrm/espocrm development by creating an account on GitHub.,poc,
poc,doramart@doracms,5,GitHub - doramart/DoraCMS: DoraCMS 是一个基于 EggJS 3.x + Vue 3 + TypeScript 的现代化内容管理系统，采用 pnpm monorepo 架构管理。它不仅仅是一个 CMS 系统，更是一个优秀的企业级应用架构实践。 · GitHub,DoraCMS 是一个基于 EggJS 3.x + Vue 3 + TypeScript 的现代化内容管理系统，采用 pnpm monorepo 架构管理。它不仅仅是一个 CMS 系统，更是一个优秀的企业级应用架构实践。 - doramart/DoraCMS,,
poc,pocoproject@poco,4,"GitHub - pocoproject/poco: The POCO C++ Libraries are powerful cross-platform C++ libraries for building network- and internet-based applications that run on desktop, server, mobile, IoT, and embedded systems. · GitHub","The POCO C++ Libraries are powerful cross-platform C++ libraries for building network- and internet-based applications that run on desktop, server, mobile, IoT, and embedded systems. - pocoproject/...",poc,
poc,archivebox@archivebox,2,"GitHub - ArchiveBox/ArchiveBox: 🗃 Open source self-hosted web archiving. Takes URLs/browser history/bookmarks/Pocket/Pinboard/etc., saves HTML, JS, PDFs, media, and more... · GitHub","🗃 Open source self-hosted web archiving. Takes URLs/browser history/bookmarks/Pocket/Pinboard/etc., saves HTML, JS, PDFs, media, and more... - ArchiveBox/ArchiveBox",poc,
poc,78778443@qingscan,1,"GitHub - 78778443/QingScan: 一个漏洞扫描器粘合剂,添加目标后30款工具自动调用；支持 web扫描、系统扫描、子域名收集、目录扫描、主机扫描、主机发现、组件识别、URL爬虫、XRAY扫描、AWVS自动扫描、POC批量验证，SSH批量测试、vulmap。 · GitHub","一个漏洞扫描器粘合剂,添加目标后30款工具自动调用；支持 web扫描、系统扫描、子域名收集、目录扫描、主机扫描、主机发现、组件识别、URL爬虫、XRAY扫描、AWVS自动扫描、POC批量验证，SSH批量测试、vulmap。 - 78778443/QingScan",,poc
poc,jech@polipo,1,GitHub - jech/polipo: The Polipo caching HTTP proxy · GitHub,The Polipo caching HTTP proxy. Contribute to jech/polipo development by creating an account on GitHub.,,
sample,schismtracker@schismtracker,4,GitHub - schismtracker/schismtracker: An oldschool sample-based music composition tool. · GitHub,An oldschool sample-based music composition tool. Contribute to schismtracker/schismtracker development by creating an account on GitHub.,,sample
samples,lostintangent@gistpad,1,"GitHub - lostintangent/gistpad: 📘 VS Code extension for managing and sharing code snippets, notes and interactive samples using GitHub Gists · GitHub","📘 VS Code extension for managing and sharing code snippets, notes and interactive samples using GitHub Gists - lostintangent/gistpad",,samples
template,smarty-php@smarty,10,"GitHub - smarty-php/smarty: Smarty is a template engine for PHP, facilitating the separation of presentation (HTML/CSS) from application logic. · GitHub","Smarty is a template engine for PHP, facilitating the separation of presentation (HTML/CSS) from application logic. - smarty-php/smarty",,template
template,harttle@liquidjs,9,"GitHub - harttle/liquidjs: A simple, expressive, safe and Shopify compatible template engine in pure JavaScript. · GitHub","A simple, expressive, safe and Shopify compatible template engine in pure JavaScript. - harttle/liquidjs",,template
template,pallets@jinja,7,GitHub - pallets/jinja: A very fast and expressive template engine. · GitHub,A very fast and expressive template engine. Contribute to pallets/jinja development by creating an account on GitHub.,,template
template,twigphp@twig,7,"GitHub - twigphp/Twig: Twig, the flexible, fast, and secure template language for PHP · GitHub","Twig, the flexible, fast, and secure template language for PHP - twigphp/Twig",,template
template,hubspot@jinjava,4,GitHub - HubSpot/jinjava: Jinja template engine for Java · GitHub,Jinja template engine for Java. Contribute to HubSpot/jinjava development by creating an account on GitHub.,,template
template,eta-dev@eta,2,"GitHub - bgub/eta: Embedded JS template engine for Node, Deno, and the browser. Lighweight, fast, and pluggable. Written in TypeScript · GitHub","Embedded JS template engine for Node, Deno, and the browser. Lighweight, fast, and pluggable. Written in TypeScript - bgub/eta",,template
template,httl@httl,2,GitHub - httl/httl: Hyper-Text Template Language and Engine. · GitHub,Hyper-Text Template Language and Engine. Contribute to httl/httl development by creating an account on GitHub.,,template
template,marcantondahmen@automad,2,GitHub - marcantondahmen/automad: A flat-file content management system and template engine · GitHub,A flat-file content management system and template engine - marcantondahmen/automad,,template
template,squirrellyjs@squirrelly,2,"GitHub - bgub/squirrelly: Semi-embedded JS template engine that supports helpers, filters, partials, and template inheritance. 4KB minzipped, written in TypeScript ⛺ · GitHub","Semi-embedded JS template engine that supports helpers, filters, partials, and template inheritance. 4KB minzipped, written in TypeScript ⛺ - bgub/squirrelly",,template
template,thymeleaf@thymeleaf,2,GitHub - thymeleaf/thymeleaf: Thymeleaf is a modern server-side Java template engine for both web and standalone environments. · GitHub,Thymeleaf is a modern server-side Java template engine for both web and standalone environments. - thymeleaf/thymeleaf,,template
template,colorlibhq@adminlte,1,GitHub - ColorlibHQ/AdminLTE: AdminLTE - Free admin dashboard template based on Bootstrap 5 · GitHub,AdminLTE - Free admin dashboard template based on Bootstrap 5 - ColorlibHQ/AdminLTE,,template
template,edge-js@edge,1,GitHub - edge-js/edge: Node.js template engine with a breath of fresh air · GitHub,Node.js template engine with a breath of fresh air - edge-js/edge,,template
template,flatlogic@react-dashboard,1,"GitHub - flatlogic/react-dashboard: 🔥React Dashboard - isomorphic admin dashboard template (React.js, Bootstrap, Node.js, GraphQL, React Router, Babel, Webpack, Browsersync) 🔥 · GitHub","🔥React Dashboard - isomorphic admin dashboard template (React.js, Bootstrap, Node.js, GraphQL, React Router, Babel, Webpack, Browsersync) 🔥 - flatlogic/react-dashboard",,template
template,lukeed@tempura,1,"GitHub - lukeed/tempura: A light, crispy, and delicious template engine 🍤 · GitHub","A light, crispy, and delicious template engine 🍤. Contribute to lukeed/tempura development by creating an account on GitHub.",,template
template,mixxorz@slippers,1,GitHub - mixxorz/slippers: A UI component framework for Django. Built on top of Django Template Language. · GitHub,A UI component framework for Django. Built on top of Django Template Language. - mixxorz/slippers,,template
template,pugjs@pug,1,"GitHub - pugjs/pug: Pug – robust, elegant, feature rich template engine for Node.js · GitHub","Pug – robust, elegant, feature rich template engine for Node.js - pugjs/pug",,template
template,stefanprodan@podinfo,1,GitHub - stefanprodan/podinfo: Go microservice template for Kubernetes · GitHub,Go microservice template for Kubernetes. Contribute to stefanprodan/podinfo development by creating an account on GitHub.,,template
template,typo3@fluid,1,GitHub - TYPO3/Fluid: Fluid template rendering engine - Standalone version · GitHub,Fluid template rendering engine - Standalone version - TYPO3/Fluid,,template
test,libexpat@libexpat,51,GitHub - libexpat/libexpat: :herb: Fast streaming XML parser written in C99 with >90% test coverage; moved from SourceForge to GitHub · GitHub,:herb: Fast streaming XML parser written in C99 with >90% test coverage; moved from SourceForge to GitHub - libexpat/libexpat,,test
test,garden-io@garden,2,"GitHub - garden-io/garden: Automation for Kubernetes development and testing. Spin up production-like environments for development, testing, and CI on demand. Use the same configuration and workflows at every step of the process. Speed up your builds and test runs via shared result caching · GitHub","Automation for Kubernetes development and testing. Spin up production-like environments for development, testing, and CI on demand. Use the same configuration and workflows at every step of the pro...",,test
test,karma-runner@karma,2,GitHub - karma-runner/karma: Spectacular Test Runner for JavaScript · GitHub,Spectacular Test Runner for JavaScript. Contribute to karma-runner/karma development by creating an account on GitHub.,,test
test,manugarg@pacparser,2,GitHub - manugarg/pacparser: Library and tools to parse and test proxy auto-config (PAC) files · GitHub,Library and tools to parse and test proxy auto-config (PAC) files - manugarg/pacparser,,test
test,openshift@origin,2,GitHub - openshift/origin: Conformance test suite for OpenShift · GitHub,Conformance test suite for OpenShift. Contribute to openshift/origin development by creating an account on GitHub.,,test
test,unclebob@fitnesse,2,GitHub - unclebob/fitnesse: FitNesse -- The Acceptance Test Wiki · GitHub,FitNesse -- The Acceptance Test Wiki. Contribute to unclebob/fitnesse development by creating an account on GitHub.,,test
test,benkeen@generatedata,1,"GitHub - benkeen/generatedata: A powerful, feature-rich, random test data generator. · GitHub","A powerful, feature-rich, random test data generator. - benkeen/generatedata",,test
test,betterment@test_track,1,GitHub - Betterment/test_track: Server app for the TestTrack multi-platform split-testing and feature-gating system · GitHub,Server app for the TestTrack multi-platform split-testing and feature-gating system - Betterment/test_track,,test
test,darklynx@request-baskets,1,"GitHub - darklynx/request-baskets: HTTP requests collector to test webhooks, notifications, REST clients and more ... · GitHub","HTTP requests collector to test webhooks, notifications, REST clients and more ... - darklynx/request-baskets",,test
test,factionsecurity@faction,1,GitHub - factionsecurity/faction: Pen Test Report Generation and Assessment Collaboration · GitHub,Pen Test Report Generation and Assessment Collaboration - factionsecurity/faction,,test
test,gookit@goutil,1,"GitHub - gookit/goutil: 💪 Helper Utils(900+): int, byte, string, array/slice, map, struct, dump, convert/format, error, web/http, cli/flag, OS/ENV, filesystem, system, test/assert, time and more. Go 常用的工具函数：数字，字符串，数组，Map，结构体，反射，文本，文件，错误，时间日期，特殊处理，格式化，常用信息获取等等 · GitHub","💪 Helper Utils(900+): int, byte, string, array/slice, map, struct, dump, convert/format, error, web/http, cli/flag, OS/ENV, filesystem, system, test/assert, time and more. Go 常用的工具函数：数字，字符串，数组，Map，...",,test
test,webdriverio@webdriverio,1,GitHub - webdriverio/webdriverio: Next-gen browser and mobile automation test framework for Node.js · GitHub,Next-gen browser and mobile automation test framework for Node.js - webdriverio/webdriverio,,test
test website,monkeytypegame@monkeytype,3,"GitHub - monkeytypegame/monkeytype: The most customizable typing website with a minimalistic design and a ton of features. Test yourself in various modes, track your progress and improve your speed. · GitHub","The most customizable typing website with a minimalistic design and a ton of features. Test yourself in various modes, track your progress and improve your speed. - monkeytypegame/monkeytype",,test website
tests,tecnickcom@tcexam,1,"GitHub - tecnickcom/tcexam: TCExam is a CBA (Computer-Based Assessment) system (e-exam, CBT - Computer Based Testing) for universities, schools and companies, that enables educators and trainers to author, schedule, deliver, and report on surveys, quizzes, tests and exams. · GitHub","TCExam is a CBA (Computer-Based Assessment) system (e-exam, CBT - Computer Based Testing) for universities, schools and companies, that enables educators and trainers to author, schedule, deliver, ...",,tests
vulnerability,1modm@petereport,3,GitHub - 1modm/petereport: PeTeReport is an open-source application vulnerability reporting tool. · GitHub,PeTeReport is an open-source application vulnerability reporting tool. - 1modm/petereport,,vulnerability
vulnerability,quay@clair,1,GitHub - quay/clair: Vulnerability Static Analysis for Containers · GitHub,Vulnerability Static Analysis for Containers. Contribute to quay/clair development by creating an account on GitHub.,,vulnerability
website,microweber@microweber,99,GitHub - microweber/microweber: Drag and Drop Website Builder and CMS with E-commerce · GitHub,Drag and Drop Website Builder and CMS with E-commerce - microweber/microweber,,website
website,baserproject@basercms,34,GitHub - baserproject/basercms: baserCMS : Based Website Development Project · GitHub,baserCMS :  Based Website Development Project. Contribute to baserproject/basercms development by creating an account on GitHub.,,website
website,b2evolution@b2evolution,14,GitHub - b2evolution/b2evolution: b2evolution CMS: Multiblog/CMS content publishing + forums + email marketing + social network + more... b2evolution includes everything you need to run and maintain a modern website. Optimized for low maintenance with easy upgrades and effective antispam. Full RWD & bootstrap support. · GitHub,b2evolution CMS: Multiblog/CMS content publishing + forums + email marketing + social network + more... b2evolution includes everything you need to run and maintain a modern website. Optimized for ...,,website
website,dgtlmoon@changedetection.io,14,"GitHub - dgtlmoon/changedetection.io: Best and simplest tool for website change detection, web page monitoring, and website change alerts. Perfect for tracking content changes, price drops, restock alerts, and website defacement monitoring—all for free or enjoy our SaaS plan! · GitHub","Best and simplest tool for website change detection, web page monitoring, and website change alerts. Perfect for tracking content changes, price drops, restock alerts, and website defacement monito...",,website
website,namelessmc@nameless,13,"GitHub - NamelessMC/Nameless: NamelessMC is a free, easy to use & powerful website software for your Minecraft server, which includes a large range of features. · GitHub","NamelessMC is a free, easy to use & powerful website software for your Minecraft server, which includes a large range of features. - NamelessMC/Nameless",,website
website,qemu@qemu,13,GitHub - qemu/qemu: Official QEMU mirror. Please see https://www.qemu.org/contribute/ for how to submit changes to QEMU. Pull Requests are disabled. Please only use release tarballs from the QEMU website. · GitHub,Official QEMU mirror. Please see https://www.qemu.org/contribute/ for how to submit changes to QEMU. Pull Requests are disabled. Please only use release tarballs from the QEMU website. - qemu/qemu,,website
website,jpatokal@openflights,4,"GitHub - jpatokal/openflights: Website for storing flight information, rendering paths on a zoomable world map and calculating statistics, with plenty of free airline, airport and route data. · GitHub","Website for storing flight information, rendering paths on a zoomable world map and calculating statistics, with plenty of free airline, airport and route data. - jpatokal/openflights",,website
website,livehelperchat@livehelperchat,4,"GitHub - LiveHelperChat/livehelperchat: Live Helper Chat - live support for your website. Featuring web and mobile apps, Voice & Video & ScreenShare. Supports Telegram, Twilio (whatsapp), Facebook messenger including building a bot. · GitHub","Live Helper Chat - live support for your website. Featuring web and mobile apps, Voice &amp; Video &amp; ScreenShare. Supports Telegram, Twilio (whatsapp), Facebook messenger including building a b...",,website
